x,y,z
1, 7, 112
1, 7, 111
1, 7, 112
1, 8, 111
1, 8, 112
1, 7, 112
1, 8, 112
1, 8, 112
1, 8, 112
1, 8, 111
1, 8, 112
1, 7, 111
1, 7, 112
1, 8, 112
1, 7, 111
1, 8, 111
1, 8, 111
1, 7, 111
1, 8, 111
1, 8, 111
1, 8, 112
2, 10, 109
2, 10, 110
0, 7, 114
12, -8, 113
-18, 26, 111
-35, 16, 111
20, -1, 116
-6, 7, 127
-58, 39, 107
-52, 72, 109
-30, 76, 173
-48, 128, 85
-23, 94, 88
-5, 88, 82
16, 71, 22
27, 104, 93
52, 118, 26
52, 87, 41
42, 114, 39
44, 116, 2
14, 120, 44
23, 144, 58
-34, 137, 36
5, 165, 52
-1, 105, 15
16, 117, 39
-4, 89, 38
25, 107, 44
19, 104, 65
22, 83, 42
23, 109, 67
5, 84, 54
1, 138, 85
-38, 90, 69
-48, 139, 96
-77, 108, 54
-72, 93, 47
-65, 77, 38
-77, 72, 43
-79, 92, 54
-84, 80, 36
-93, 106, 23
-109, 70, 29
-119, 86, 42
-146, 97, 17
-112, 89, 6
-148, 90, 12
-120, 81, 6
-91, 89, 29
-98, 56, 11
-93, 54, 22
-114, 35, -3
-135, 64, -2
-134, 60, 14
-137, 68, 6
-157, 34, 1
-122, 42, 10
-145, 39, 11
-158, 54, -5
-118, 62, 1
-109, 25, 2
-121, 28, 14
-127, 22, 8
-139, 30, 1
-125, 40, 16
-151, 0, 9
-140, 40, 0
-129, 42, -7
-128, 35, 13
-129, 39, 21
-125, 60, 27
-139, 70, 32
-141, 54, 18
-132, 45, 16
-128, 46, 16
-133, 36, 14
-120, 30, 8
-126, 20, 13
-131, 34, 12
-127, 26, 6
-128, 15, -2
-129, 25, -1
-133, 25, 5
-136, 30, 9
-136, 28, 4
-133, 30, 8
-132, 28, 11
-132, 28, 10
-134, 28, 5
-130, 24, 10
-132, 26, 5
-134, 29, 0
-134, 34, 4
-131, 23, 2
-130, 30, 9
-133, 31, -1
-132, 29, 4
-132, 34, 8
-133, 28, 0
-133, 34, 2
-134, 34, 1
-130, 31, 3
-131, 35, 5
-133, 30, 1
-133, 33, 0
-131, 30, 3
